,population,median_income,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,median_house_value
1840,1298.0,1.9797,0.0,0.0,0.0,0.0,1.0,85800.0
1842,1947.0,2.5795,0.0,0.0,0.0,0.0,1.0,68400.0
1844,1530.0,1.7038,0.0,0.0,0.0,0.0,1.0,78300.0
1846,1282.0,2.4605,0.0,0.0,0.0,0.0,1.0,105900.0
1848,1208.0,2.275,0.0,0.0,0.0,0.0,1.0,122400.0
1850,1244.0,3.0313,0.0,0.0,0.0,0.0,1.0,103600.0
1854,1382.0,2.0202,0.0,0.0,0.0,0.0,1.0,71100.0
2520,1150.0,1.7308,0.0,0.0,0.0,0.0,1.0,80500.0
2522,891.0,1.585,0.0,0.0,0.0,0.0,1.0,75500.0
2524,975.0,2.2566,0.0,0.0,0.0,0.0,1.0,92700.0
2526,731.0,1.6369,0.0,0.0,0.0,0.0,1.0,68300.0
2528,883.0,1.745,0.0,0.0,0.0,0.0,1.0,70500.0
2530,1169.0,1.9688,0.0,0.0,0.0,0.0,1.0,70500.0
2532,1053.0,2.8529,0.0,0.0,0.0,0.0,1.0,85600.0
2534,867.0,2.5536,0.0,0.0,0.0,0.0,1.0,70200.0
2536,950.0,2.1607,0.0,0.0,0.0,0.0,1.0,67000.0
2538,992.0,2.8056,0.0,0.0,0.0,0.0,1.0,82800.0
2540,235.0,1.75,0.0,0.0,0.0,0.0,1.0,67500.0
2542,765.0,1.755,0.0,0.0,0.0,0.0,1.0,74100.0
2544,952.0,1.1386,0.0,0.0,0.0,0.0,1.0,74100.0
2546,911.0,3.1711,0.0,0.0,0.0,0.0,1.0,104200.0
2548,1206.0,2.1135,0.0,0.0,0.0,0.0,1.0,90600.0
2550,982.0,3.4219,0.0,0.0,0.0,0.0,1.0,92800.0
2552,1388.0,3.375,0.0,0.0,0.0,0.0,1.0,100600.0
2554,425.0,2.5536,0.0,0.0,0.0,0.0,1.0,96100.0
2556,1259.0,2.2478,0.0,0.0,0.0,0.0,1.0,81100.0
2558,855.0,3.5833,0.0,0.0,0.0,0.0,1.0,92800.0
2562,794.0,1.1742,0.0,0.0,0.0,0.0,1.0,75000.0
2564,796.0,2.2138,0.0,0.0,0.0,0.0,1.0,99200.0
2566,420.0,2.2188,0.0,0.0,0.0,0.0,1.0,105800.0
2568,1165.0,1.725,0.0,0.0,0.0,0.0,1.0,57500.0
2570,1052.0,1.5326,0.0,0.0,0.0,0.0,1.0,74100.0
2572,1948.0,2.7321,0.0,0.0,0.0,0.0,1.0,92600.0
2574,1603.0,2.5667,0.0,0.0,0.0,0.0,1.0,139500.0
2576,1381.0,1.6667,0.0,0.0,0.0,0.0,1.0,78800.0
2584,1384.0,2.4708,0.0,0.0,0.0,0.0,1.0,119400.0
2586,890.0,1.9741,0.0,0.0,0.0,0.0,1.0,97900.0
2592,1554.0,2.6847,0.0,0.0,0.0,0.0,1.0,111300.0
2594,866.0,2.96,0.0,0.0,0.0,0.0,1.0,81700.0
2596,1298.0,3.5076,0.0,0.0,0.0,0.0,1.0,73600.0
2598,941.0,2.3147,0.0,0.0,0.0,0.0,1.0,70100.0
2600,516.0,5.0329,0.0,0.0,0.0,0.0,1.0,165600.0
2602,1019.0,2.9911,0.0,0.0,0.0,0.0,1.0,119700.0
2604,334.0,3.9659,0.0,0.0,0.0,0.0,1.0,111800.0
2606,1375.0,2.8446,0.0,0.0,0.0,0.0,1.0,100500.0
2608,2907.0,3.5363,0.0,0.0,0.0,0.0,1.0,90100.0
2610,1194.0,2.5179,0.0,0.0,0.0,0.0,1.0,79000.0
2612,706.0,2.8958,0.0,0.0,0.0,0.0,1.0,86400.0
2614,642.0,2.4519,0.0,0.0,0.0,0.0,1.0,85100.0
2616,521.0,4.025,0.0,0.0,0.0,0.0,1.0,128100.0
2618,1544.0,2.178,0.0,0.0,0.0,0.0,1.0,76800.0
2632,1152.0,3.0806,0.0,0.0,0.0,0.0,1.0,106700.0
2634,434.0,1.9417,0.0,0.0,0.0,0.0,1.0,76100.0
5538,1799.0,2.375,0.0,0.0,0.0,0.0,1.0,128000.0
5540,165.0,1.3333,0.0,0.0,0.0,0.0,1.0,187500.0
5556,1716.0,2.7143,0.0,0.0,0.0,0.0,1.0,138100.0
5558,1183.0,1.9208,0.0,0.0,0.0,0.0,1.0,139800.0
5562,1524.0,2.0956,0.0,0.0,0.0,0.0,1.0,154700.0
5564,784.0,2.25,0.0,0.0,0.0,0.0,1.0,152300.0
5566,809.0,2.4545,0.0,0.0,0.0,0.0,1.0,164200.0
5570,2115.0,1.5369,0.0,0.0,0.0,0.0,1.0,141300.0
5576,429.0,1.8393,0.0,0.0,0.0,0.0,1.0,187500.0
5578,1916.0,1.2276,0.0,0.0,0.0,0.0,1.0,208300.0
5584,1163.0,4.4671,0.0,0.0,0.0,0.0,1.0,270800.0
5586,2260.0,4.3472,0.0,0.0,0.0,0.0,1.0,351200.0
5590,1368.0,2.1473,0.0,0.0,0.0,0.0,1.0,195300.0
5592,905.0,2.75,0.0,0.0,0.0,0.0,1.0,238300.0
5594,1151.0,2.5759,0.0,0.0,0.0,0.0,1.0,225000.0
5596,1669.0,3.3616,0.0,0.0,0.0,0.0,1.0,268500.0
5598,799.0,5.0874,0.0,0.0,0.0,0.0,1.0,368500.0
5600,1184.0,3.9167,0.0,0.0,0.0,0.0,1.0,285200.0
5602,957.0,4.2059,0.0,0.0,0.0,0.0,1.0,350000.0
5604,2178.0,2.0469,0.0,0.0,0.0,0.0,1.0,234500.0
5606,1550.0,1.9167,0.0,0.0,0.0,0.0,1.0,227200.0
5608,1459.0,3.4474,0.0,0.0,0.0,0.0,1.0,253400.0
5610,1304.0,3.5694,0.0,0.0,0.0,0.0,1.0,276400.0
5612,1372.0,4.1451,0.0,0.0,0.0,0.0,1.0,326700.0
5614,986.0,5.4533,0.0,0.0,0.0,0.0,1.0,409800.0
5616,2297.0,6.4246,0.0,0.0,0.0,0.0,1.0,446700.0
5618,611.0,5.3074,0.0,0.0,0.0,0.0,1.0,401900.0
5620,902.0,4.25,0.0,0.0,0.0,0.0,1.0,332800.0
5622,1103.0,3.274,0.0,0.0,0.0,0.0,1.0,254300.0
5624,1624.0,3.7282,0.0,0.0,0.0,0.0,1.0,287500.0
7580,601.0,2.8837,0.0,0.0,0.0,0.0,1.0,176100.0
7962,880.0,4.1023,0.0,0.0,0.0,0.0,1.0,217300.0
7964,591.0,2.9798,0.0,0.0,0.0,0.0,1.0,315600.0
7966,537.0,2.25,0.0,0.0,0.0,0.0,1.0,192000.0
7970,725.0,3.8026,0.0,0.0,0.0,0.0,1.0,149700.0
7974,1953.0,2.7813,0.0,0.0,0.0,0.0,1.0,159200.0
7976,1011.0,6.4468,0.0,0.0,0.0,0.0,1.0,444200.0
7978,800.0,4.8693,0.0,0.0,0.0,0.0,1.0,277700.0
7980,542.0,5.0052,0.0,0.0,0.0,0.0,1.0,321800.0
7982,1330.0,3.3125,0.0,0.0,0.0,0.0,1.0,425500.0
7984,1513.0,5.5106,0.0,0.0,0.0,0.0,1.0,252200.0
7986,1030.0,4.1301,0.0,0.0,0.0,0.0,1.0,268400.0
7988,167.0,4.25,0.0,0.0,0.0,0.0,1.0,207500.0
7990,1914.0,3.5521,0.0,0.0,0.0,0.0,1.0,290000.0
7992,954.0,5.2606,0.0,0.0,0.0,0.0,1.0,198900.0
7994,1038.0,4.4559,0.0,0.0,0.0,0.0,1.0,198500.0
7996,2217.0,2.4286,0.0,0.0,0.0,0.0,1.0,204800.0
7998,533.0,3.4808,0.0,0.0,0.0,0.0,1.0,206900.0
8000,1219.0,5.3096,0.0,0.0,0.0,0.0,1.0,209900.0
8002,764.0,3.3214,0.0,0.0,0.0,0.0,1.0,162200.0
8004,1157.0,3.5054,0.0,0.0,0.0,0.0,1.0,146800.0
8006,394.0,4.9562,0.0,0.0,0.0,0.0,1.0,165700.0
8008,3030.0,1.9311,0.0,0.0,0.0,0.0,1.0,138100.0
8010,1524.0,3.8586,0.0,0.0,0.0,0.0,1.0,157900.0
8012,602.0,3.7885,0.0,0.0,0.0,0.0,1.0,156900.0
8014,1053.0,3.2778,0.0,0.0,0.0,0.0,1.0,150800.0
8016,1764.0,3.875,0.0,0.0,0.0,0.0,1.0,165100.0
8018,1691.0,2.3605,0.0,0.0,0.0,0.0,1.0,141800.0
8020,984.0,4.25,0.0,0.0,0.0,0.0,1.0,143100.0
8022,2994.0,1.8109,0.0,0.0,0.0,0.0,1.0,137500.0
8024,1807.0,2.7183,0.0,0.0,0.0,0.0,1.0,190400.0
8026,1090.0,2.8988,0.0,0.0,0.0,0.0,1.0,194900.0
8028,2749.0,2.5012,0.0,0.0,0.0,0.0,1.0,197500.0
8030,614.0,4.0074,0.0,0.0,0.0,0.0,1.0,200800.0
8032,2635.0,2.1985,0.0,0.0,0.0,0.0,1.0,141800.0
8034,2357.0,1.7938,0.0,0.0,0.0,0.0,1.0,142600.0
8036,2951.0,1.7689,0.0,0.0,0.0,0.0,1.0,117600.0
8038,1042.0,3.5,0.0,0.0,0.0,0.0,1.0,216700.0
8040,1530.0,5.1806,0.0,0.0,0.0,0.0,1.0,175000.0
8042,883.0,3.5313,0.0,0.0,0.0,0.0,1.0,187500.0
8102,1199.0,3.7232,0.0,0.0,0.0,0.0,1.0,500001.0
8106,947.0,5.0072,0.0,0.0,0.0,0.0,1.0,236200.0
8108,681.0,4.6452,0.0,0.0,0.0,0.0,1.0,212500.0
8110,1230.0,3.4211,0.0,0.0,0.0,0.0,1.0,203900.0
8112,1478.0,3.4833,0.0,0.0,0.0,0.0,1.0,209400.0
8114,1038.0,3.108,0.0,0.0,0.0,0.0,1.0,217900.0
8116,904.0,2.0875,0.0,0.0,0.0,0.0,1.0,181300.0
8118,2074.0,2.0156,0.0,0.0,0.0,0.0,1.0,152700.0
8120,2135.0,2.875,0.0,0.0,0.0,0.0,1.0,164000.0
8122,2646.0,1.9318,0.0,0.0,0.0,0.0,1.0,115900.0
8124,1896.0,2.0186,0.0,0.0,0.0,0.0,1.0,130000.0
8126,1201.0,1.2206,0.0,0.0,0.0,0.0,1.0,162500.0
8128,1967.0,2.137,0.0,0.0,0.0,0.0,1.0,126600.0
8130,439.0,2.8533,0.0,0.0,0.0,0.0,1.0,137500.0
8132,96.0,4.5938,0.0,0.0,0.0,0.0,1.0,112500.0
8134,222.0,1.7,0.0,0.0,0.0,0.0,1.0,104200.0
8136,2924.0,1.3274,0.0,0.0,0.0,0.0,1.0,218800.0
8138,1545.0,1.7064,0.0,0.0,0.0,0.0,1.0,175000.0
8140,3018.0,2.3305,0.0,0.0,0.0,0.0,1.0,162500.0
8142,1257.0,1.2864,0.0,0.0,0.0,0.0,1.0,131300.0
8144,1190.0,1.9797,0.0,0.0,0.0,0.0,1.0,143800.0
8146,1209.0,2.7813,0.0,0.0,0.0,0.0,1.0,129200.0
8148,735.0,1.5,0.0,0.0,0.0,0.0,1.0,162500.0
8150,692.0,1.4048,0.0,0.0,0.0,0.0,1.0,200000.0
8152,1128.0,1.1483,0.0,0.0,0.0,0.0,1.0,112500.0
8154,1092.0,1.0714,0.0,0.0,0.0,0.0,1.0,150000.0
8156,1300.0,2.0769,0.0,0.0,0.0,0.0,1.0,100000.0
8158,898.0,1.5844,0.0,0.0,0.0,0.0,1.0,162500.0
8160,1083.0,1.8438,0.0,0.0,0.0,0.0,1.0,162500.0
8162,3580.0,1.7393,0.0,0.0,0.0,0.0,1.0,140200.0
8164,4812.0,1.7701,0.0,0.0,0.0,0.0,1.0,146200.0
8166,2077.0,2.2538,0.0,0.0,0.0,0.0,1.0,181300.0
8168,984.0,2.346,0.0,0.0,0.0,0.0,1.0,165600.0
8170,3068.0,2.2808,0.0,0.0,0.0,0.0,1.0,154700.0
8172,720.0,2.6371,0.0,0.0,0.0,0.0,1.0,159400.0
8174,2136.0,4.0968,0.0,0.0,0.0,0.0,1.0,310000.0
8176,1004.0,3.0153,0.0,0.0,0.0,0.0,1.0,220000.0
8178,852.0,2.5726,0.0,0.0,0.0,0.0,1.0,193800.0
8180,1314.0,3.8125,0.0,0.0,0.0,0.0,1.0,382100.0
8182,1749.0,3.8984,0.0,0.0,0.0,0.0,1.0,306300.0
8184,1292.0,2.7614,0.0,0.0,0.0,0.0,1.0,272200.0
8186,1460.0,2.875,0.0,0.0,0.0,0.0,1.0,232500.0
8188,3087.0,2.127,0.0,0.0,0.0,0.0,1.0,163300.0
8190,1819.0,3.1739,0.0,0.0,0.0,0.0,1.0,222900.0
8192,1600.0,3.3003,0.0,0.0,0.0,0.0,1.0,207800.0
8194,1277.0,3.6193,0.0,0.0,0.0,0.0,1.0,250000.0
8196,361.0,7.5,0.0,0.0,0.0,0.0,1.0,434500.0
8198,1171.0,3.875,0.0,0.0,0.0,0.0,1.0,342900.0
