,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
696,-121.97,37.64,32.0,1283.0,194.0,485.0,171.0,6.0574,431000.0,1.0,0.0,0.0,0.0,0.0
824,-121.99,37.61,9.0,3666.0,711.0,2341.0,703.0,4.6458,217000.0,1.0,0.0,0.0,0.0,0.0
853,-121.97,37.57,21.0,4342.0,783.0,2172.0,789.0,4.6146,247600.0,1.0,0.0,0.0,0.0,0.0
854,-121.96,37.58,15.0,3575.0,597.0,1777.0,559.0,5.7192,283500.0,1.0,0.0,0.0,0.0,0.0
855,-121.98,37.58,20.0,4126.0,1031.0,2079.0,975.0,3.6832,216900.0,1.0,0.0,0.0,0.0,0.0
856,-121.99,37.58,31.0,2878.0,478.0,1276.0,485.0,6.2073,282500.0,1.0,0.0,0.0,0.0,0.0
857,-122.0,37.58,6.0,4405.0,717.0,2071.0,688.0,5.8151,295600.0,1.0,0.0,0.0,0.0,0.0
864,-121.93,37.49,5.0,1150.0,311.0,648.0,245.0,3.5714,300000.0,1.0,0.0,0.0,0.0,0.0
874,-121.99,37.56,18.0,5505.0,1005.0,2641.0,971.0,5.0,269700.0,1.0,0.0,0.0,0.0,0.0
875,-121.99,37.56,20.0,6462.0,1294.0,3288.0,1235.0,4.3393,231200.0,1.0,0.0,0.0,0.0,0.0
876,-121.96,37.55,4.0,3746.0,993.0,1606.0,838.0,4.1387,162500.0,1.0,0.0,0.0,0.0,0.0
877,-121.97,37.56,13.0,8918.0,1823.0,4518.0,1772.0,4.8052,254000.0,1.0,0.0,0.0,0.0,0.0
878,-121.97,37.54,31.0,1949.0,344.0,986.0,322.0,4.6349,196200.0,1.0,0.0,0.0,0.0,0.0
879,-121.97,37.55,17.0,4924.0,1247.0,3080.0,1182.0,3.168,189400.0,1.0,0.0,0.0,0.0,0.0
880,-121.98,37.54,17.0,5133.0,1375.0,3386.0,1339.0,3.1326,220800.0,1.0,0.0,0.0,0.0,0.0
881,-121.99,37.55,16.0,6647.0,2098.0,4649.0,1903.0,2.9074,213800.0,1.0,0.0,0.0,0.0,0.0
882,-121.94,37.56,15.0,5674.0,748.0,2412.0,714.0,8.3996,442900.0,1.0,0.0,0.0,0.0,0.0
