,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
1839,-124.17,41.8,16.0,2739.0,480.0,1259.0,436.0,3.7557,109400.0,0.0,0.0,0.0,0.0,1.0
1840,-124.3,41.8,19.0,2672.0,552.0,1298.0,478.0,1.9797,85800.0,0.0,0.0,0.0,0.0,1.0
1841,-124.23,41.75,11.0,3159.0,616.0,1343.0,479.0,2.4805,73200.0,0.0,0.0,0.0,0.0,1.0
1842,-124.21,41.77,17.0,3461.0,722.0,1947.0,647.0,2.5795,68400.0,0.0,0.0,0.0,0.0,1.0
1843,-124.19,41.78,15.0,3140.0,714.0,1645.0,640.0,1.6654,74600.0,0.0,0.0,0.0,0.0,1.0
1844,-124.22,41.73,28.0,3003.0,699.0,1530.0,653.0,1.7038,78300.0,0.0,0.0,0.0,0.0,1.0
1845,-124.21,41.75,20.0,3810.0,787.0,1993.0,721.0,2.0074,66900.0,0.0,0.0,0.0,0.0,1.0
1846,-124.17,41.76,20.0,2673.0,538.0,1282.0,514.0,2.4605,105900.0,0.0,0.0,0.0,0.0,1.0
1847,-124.16,41.74,15.0,2715.0,569.0,1532.0,530.0,2.1829,69500.0,0.0,0.0,0.0,0.0,1.0
1848,-124.14,41.95,21.0,2696.0,578.0,1208.0,494.0,2.275,122400.0,0.0,0.0,0.0,0.0,1.0
1849,-124.16,41.92,19.0,1668.0,324.0,841.0,283.0,2.1336,75000.0,0.0,0.0,0.0,0.0,1.0
1850,-124.3,41.84,17.0,2677.0,531.0,1244.0,456.0,3.0313,103600.0,0.0,0.0,0.0,0.0,1.0
1851,-124.15,41.81,17.0,3276.0,628.0,3546.0,585.0,2.2868,103100.0,0.0,0.0,0.0,0.0,1.0
1854,-123.92,41.54,22.0,2920.0,636.0,1382.0,499.0,2.0202,71100.0,0.0,0.0,0.0,0.0,1.0
2519,-124.17,40.8,52.0,661.0,316.0,392.0,244.0,0.957,60000.0,0.0,0.0,0.0,0.0,1.0
2520,-124.16,40.8,52.0,2416.0,618.0,1150.0,571.0,1.7308,80500.0,0.0,0.0,0.0,0.0,1.0
2521,-124.16,40.79,52.0,1264.0,277.0,591.0,284.0,1.7778,76900.0,0.0,0.0,0.0,0.0,1.0
2522,-124.17,40.8,52.0,1606.0,419.0,891.0,367.0,1.585,75500.0,0.0,0.0,0.0,0.0,1.0
2523,-124.17,40.8,52.0,1557.0,344.0,758.0,319.0,1.8529,62500.0,0.0,0.0,0.0,0.0,1.0
2524,-124.16,40.79,52.0,2148.0,421.0,975.0,430.0,2.2566,92700.0,0.0,0.0,0.0,0.0,1.0
2525,-124.16,40.78,50.0,2285.0,403.0,837.0,353.0,2.5417,85400.0,0.0,0.0,0.0,0.0,1.0
2526,-124.17,40.78,39.0,1606.0,330.0,731.0,327.0,1.6369,68300.0,0.0,0.0,0.0,0.0,1.0
2527,-124.19,40.78,37.0,1371.0,319.0,640.0,260.0,1.8242,70000.0,0.0,0.0,0.0,0.0,1.0
2528,-124.18,40.79,39.0,1836.0,352.0,883.0,337.0,1.745,70500.0,0.0,0.0,0.0,0.0,1.0
2529,-124.18,40.79,40.0,1398.0,311.0,788.0,279.0,1.4668,64600.0,0.0,0.0,0.0,0.0,1.0
2530,-124.17,40.79,43.0,2285.0,479.0,1169.0,482.0,1.9688,70500.0,0.0,0.0,0.0,0.0,1.0
2531,-124.16,40.78,43.0,2241.0,446.0,932.0,395.0,2.9038,82000.0,0.0,0.0,0.0,0.0,1.0
2532,-124.16,40.77,35.0,2141.0,438.0,1053.0,434.0,2.8529,85600.0,0.0,0.0,0.0,0.0,1.0
2533,-124.17,40.77,30.0,1895.0,366.0,990.0,359.0,2.2227,81300.0,0.0,0.0,0.0,0.0,1.0
2534,-124.18,40.78,37.0,1453.0,293.0,867.0,310.0,2.5536,70200.0,0.0,0.0,0.0,0.0,1.0
2535,-124.18,40.78,33.0,1076.0,222.0,656.0,236.0,2.5096,72200.0,0.0,0.0,0.0,0.0,1.0
2536,-124.18,40.78,34.0,1592.0,364.0,950.0,317.0,2.1607,67000.0,0.0,0.0,0.0,0.0,1.0
2537,-124.17,40.75,13.0,2171.0,339.0,951.0,353.0,4.8516,116100.0,0.0,0.0,0.0,0.0,1.0
2538,-124.17,40.76,26.0,1776.0,361.0,992.0,380.0,2.8056,82800.0,0.0,0.0,0.0,0.0,1.0
